anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
excalcarate	without spurs.
configuration	Refers to almost limitless aspects of landscape heterogeneity, especially the physical and spatial distribution of landscape elements
vomitoxin	4-Deoxynivalenol, a trichothecene; a mycotoxin produced by Fusarium graminearum (Hyphomycetes); esp
mold	A filamentous fungus.
patulin	a mycotoxin from Aspergillus clavatus, Penicillium patulum, P
allopatric speciation	Speciation between populations that are geographically separated.
avidity	Firmness of union of two substances; used commonly to describe union of antibody to antigen.
age-specific survivorship	Proportion of individuals which survive from birth to the beginning of a specific age class.
nuclear receptor superfamily	Intracellular receptors for hydrophobic signal molecules such as steroids and retinoic acid
villose -ous	soft-haired or clothed with soft, short hair.
ionic compound	compound composed of electrically charged ions that are present in fixed proportions and are arranged in a regular, geometric pattern
auxotroph	Differing from the wild strain (prototroph) by an additional nutritional requirement.
monomer	One unit of a protein or other structure.
microfluidics chips	The chips contain very tiny channels in which the movement of fluids can be controlled
genital armature	all the processes concerned in copulation.
higher water concentration	region from which net movement of water molecules occurs during osmosis.
taxonomy	The science of naming and classifying organisms.
reduction	Process by which a compound accepts electrons.
darwinism	The concept, proposed by Charles Darwin, that biological evolution has led to the many different highly adapted species through natural selection acting on hereditary variations in populations.
molecular modeling	Computational analysis and modeling of the physicochemical properties of a molecule or biomacromolecule.
postgenomic	Referring to the study of an animal species or other organism after its full genome is known.
codon	In a messenger RNA molecule, a sequence of three bases that represents a particular amino acid.
allosteric enzyme	A regulatory enzyme, with catalytic activity modulated by the noncovalent binding of a specific metabolite at a site other than the active site.
wild type	A strain of microorganism isolated from nature
glycosyl transferase	An enzyme that forms a glycosidic bond between a sugar residue (monosaccharide) and an amino acid side chain of a protein or a residue in an existing carbohydrate chain.
protein aggregation	the process of forming protein aggregates.
pharmacogenomics	The evaluation of individual genomic variation in relation to the delivery and effectiveness of drugs
lipoprotein	A lipid-protein aggregate that serves to carry water-insoluble lipids in the blood
high throughput machines	A system which enables researchers can rapidly and efficiently search through chemical compound libraries, each with thousands of different samples, testing each of them for positive interactions with the biological target
auxins	plant growth hormones; some are produced by ectomycorrhizal fungi.
cotyla	the articular pan; the cup or socket of a ball and socket joint.
norepinephrine	A molecule that acts as a neurotransmitter and as a hormone to increase heart rate, blood pressure, and blood sugar levels in times of physical or mental stress
multangulate	with many angles.
soil salinity	Amount of soluble salts in a soil
jack-in-a-box asci	see BITUNICATE.
plaque assay	Technique for determining the number of infectious viral particles in a sample by culturing a diluted sample on a layer of susceptible host cells and then counting the clear areas of lysed cells (plaques) that develop
photosynthesis	The use of light energy to produce carbohydrates from carbon dioxide and a reducing agent such as water.
pyloric sphincter	In the vertebrate digestive tract, a muscular ring that regulates the passage of food out of the stomach and into the small intestine.
symporter	Carrier protein that transports two types of solute across the membrane in the same direction.
brown fat	A tissue in some mammals, located in the neck and between the shoulders, that is specialized for rapid heat production.
trochlearis	pulley-shaped; like a cylinder contracted medially.
lanuginose -us	with long, curled hair dispersed over the surface: see crinitus.
mycosis	An infection caused by fungi.
antigen	Substance that is recognized by the immune system and elicits an immune response.
cohesion	The force that holds molecules of the same substance together.
multiplication rule	States that the probability of two or more independent events occurring together is calculated by multiplying the probabilities of each of the individual events.
secondary succession	A type of succession that occurs where an existing community has been severely cleared by some disturbance.
ozone layer	A layer of ozone around the earth protects the life on earth from the sun.s harmful ultraviolet rays
polypeptide backbone	The chain of repeating carbon and nitrogen atoms, linked by peptide bonds, in a polypeptide or protein
posterior pituitary	The neuroendocrine portion of the vertebrate pituitary gland in which neurohormones are released from axon terminals
oxidation-reduction reaction	A reaction in which electrons are transferred from a donor to an acceptor molecule; also called a redox reaction.
polypeptide	Linear polymer of amino acids connected by peptide bonds
monera	One of the five “traditional” Kingdoms of life
tetradactyle	with four fingers or finger-like processes.
virtual screening	A combinatorial chemistry technique for the computational screening of compounds.
respiration	General term for any cellular process involving the uptake of O2 coupled to production of CO2.
hydrostatic pressure	The sort of pressure that is developed in a fluid (gas or liquid) when forces are applied that tend to increase the amount of matter per unit of volume
eutelegenesis	The use of artificial insemination to improve genetic endowment.
strain	Individuals kept in a closed breeding group in order to maintain particular characteristics.
immunomodulation	Activation or suppression of the immune response.
lesion	A piece of tissue that is either missing or so damaged that it cannot perform its normal function.
vicariance	Speciation which occurs as a result of the separation and subsequent isolation of portions of an orginal population.
local regulator	A chemical messenger that influences cells in the vicinity.
island	A large region of DNA that is present on the chromosome of an organism but absent from closely related organisms.
receptive hyphae	special hyphae arising from spermagonia of rust fungi; the spermatia from other spermagonia fuse with them and initiate the dikaryon.
torsion	A characteristic of gastropods in which the visceral mass rotates during development.
clone	An exact copy of a
phagocytosis	The uptake of large particles, such as bacteria, by a cell.
crust	n
malnutrition	condition caused by a diet lacking in the proper mix of nutrients, even though the energy content of the food eaten may be adequate
horseradish peroxidase	An enzyme that can be complexed to DNA for use in some non-radioactive DNA labeling procedures.
urite	an abdominal segment and, specifically, its ventral portion.
adenomatous polyposis coli	Tumor suppressor protein that forms part of a protein complex that recruits free cytoplasmic β-catenin and degrades it.
random sample	Sample of individuals drawn without regard to any specific criteria e.g., phenotype, genotype or relationship to other individuals.
membrane resistance	The electrical resistance of a membrane per unit of area
gastroliths	n
p53	(See Tumor-suppressor genes.)
parcidentate	with few teeth.
motif	Element of structure or pattern that recurs in many contexts
pharmacodynamics	explain at what the drug does to the body
processive	The activity of an enzyme that progressively synthesizes or breaks down a polymeric molecule using successive cyclic reactions but does not dissociate from the template between cycles.
inflexus	= inflected.
polyamine	A hydrocarbon containing more than two amino groups.
glycoprotein	Any protein with one or more oligosaccharide chains covalently linked to amino-acid side chains
deletion	/də-LEE-shən, dee-/ n
footprinting	A technique for identifying the nucleic acid sequence bound by a DNA- or RNA-binding protein.
pipetting	Using a pipette (a syringe-like instrument) to measure and transfer liquids from one container to another.
functional proteomics	The large-scale study of protein function, especially protein-protein interaction networks, biochemical pathways, and post-translational modifications.
half-life	The number of years it takes for 50% of a sample of an isotope to decay.
black-body temperature	See radiant temperature.
ast	Asparate aminotransferase (formerly SGOT).
linkers	Short oligonucleotides that can be ligated (connected) to larger DNA fragments, then cleaved (cut) to yield overlapping cohesive (sticky) ends, suitable for ligation to other DNAs that contain comparable cohesive ends.
joint	a segment or part between two incisures: an articulation.
ecological drift	Random change in species abundance over time.
cross-feeding	(i) Specific type of syntrophy where two populations cooperate to metabolize a compound
ruben	red, approaching carmine [alizar crimson].
oligotrophic lake	A nutrient-poor, clear, deep lake with minimum phytoplankton.
septate junction	Main type of occluding cell junction in invertebrates; their structure is distinct from that of vertebrate tight junctions.
endomycorrhizal fungus	A fungus that forms endomycorrhizae with plant roots.
nutraceutical	A nutrient that confers beneficial effects.
fuscescent	becoming brown; with a brown shading.
homolog	One of two or more genes that are similar in sequence as a result of derivation from the same ancestral gene
thyroid-stimulating hormone	A hormone produced by the anterior pituitary that regulates the release of thyroid hormones.
chitin	n
coenzyme	Small organic molecule that associates with an enzyme and participates in the reaction catalyzed by the enzyme; also called cofactor
ligand-gated ion channel	A protein pore in the plasma membrane that opens or closes in response to a chemical signal, allowing or blocking the flow of specific ions.
vis formatrix	the creative or formative force.
ß-lactamase	An enzyme that cleaves the ß-lactam ring of ß-lactam antibiotics, thus inactivating the antibiotics
heterotroph	An organism that requires preformed organic compounds for growth.
marmorate -us	spots and lines irregularly disposed, as in marble: marbled
fat transfer	A procedure, also known as "fat grafting," where fat is harvested from one part of the patient's body and then reinjected into the face
mycoparasite	a fungus which attacks other fungi (sometimes called HYPERPARASITE).
marionette lines	Also known as "oral commissures," marionette lines run downward from the corners of the mouth.
pleiotropy	The ability of a single gene to have multiple effects.
lactate / lactic acid	A chemical that is formed when sugars are broken down for energy in the absence of adequate oxygen
xenopus laevis	An African clawed toad used to study developmental biology.
variable region	Region of an immunoglobulin light or heavy chain that differs from molecule to molecule; it comprises the antigen-binding site.
limbate	when a disc is surrounded by a margin of different color.
precambrian eon	A major division of the geological time scale that includes all eras from the origin of the earth about 4.5 billion years ago to the beginning of the Phanerozoic eon, about 545 million years ago
monoecy	System of sexual expression in plant species in which individual plants bear staminate (male) and pistillate (female) flowers that are physically seperated on the same plant..
cathode	electrode where reduction takes place
tidal volume	The volume of air an animal inhales and exhales with each breath.
pheromone	A hormone-like substance that acts as an attractant.
diastolic pressure	The pressure in an artery during the ventricular relaxation phase of the heart cycle.
km	the concentration of substrate at ½ Vmax, according to the Henri-Michaelis-Menten kinetic model (QB manual, Section IV, pg9)
citric acid cycle	See tricarboxylic acid (TCA) cycle.
pelagic	Refers to an entire body of water and the organisms within it, excluding the bottom (benthic) zone.
exergonic	A reaction that releases energy.
cognitive map	A representation within the nervous system of spatial relations between objects in an animal's environment.
genetic variation	Genetic heterogeneity in a population.
ossification	n
nonelectrolyte	nonconducting solute in solutions
terminal space	the area between the s
nonadditive genetic variance	The sum of the dominance and epistatic variance.
intestines	The part of the gastrointestinal tract through which food passes after passing through the stomach
population viability analysis	A method of predicting whether or not a species will persist in a particular environment.
ingens	unusually large or disproportionate in size.
communal	applied to life or dwelling in colonies like ants and bees.
sirtuins	A group of enzymes that may play a role in lifespan extension.
amobea	unicellular pond animal lacking definite shape.
torose	swelling into knots or protuberances.
frontal lunule	Diptera; an oval or crescentic space above the base of antennae in Cyclorrhapha, bounded by the frontal suture.
leukotrienes	A family of molecules derived from arachidonate; muscle contractants that constrict air passages in the lungs and are involved in asthma.
tertile	This term is often used in explaining the distribution of scores on a test
signal transduction	Relaying a signal by conversion from one form to another
repeatability	Measure of the degree of association between repeated measurements for the same trait obtained on the same individual
cathaysian terranes	n
plus-strand nucleic acid	An RNA or DNA strand which has the same sense as the mRNA of a virus.
phanerophytes	Plants with their perennating organs greater than 0.5 meters above the ground (normally woody perennials).
sediment	Any solid material that has settled out of a state of suspension in liquid.
protozoa	Free-living or parasitic, nonphotosynthetic, single-celled, motile eucaryotic organisms, such as Paramecium and Amoeba
trace minerals	minerals in the diet that are usually required in micrograms
reclinate	directed backward; e.g
transport epithelium	One or more layers of specialized epithelial cells that regulate solute movements.
c3 plants	A plant that uses the Calvin cycle for the initial steps that incorporate CO2 into organic material, forming a three-carbon compound as the first stable intermediate.
phenotype	The visible characteristics (e.g
juvenile hormone	In insects, a lipid-soluble hormone secreted by the nonneural endocrine cells of the corpora allata that stimulates its target tissues to maintain immature characteristics.
osmotic potential	A component of water potential that is proportional to the number of dissolved solute molecules in a solution and measures the effect of solutes on the direction of water movement; also called solUte potential, it can be either zero or negative.
product	A compound formed as a result of an enzymatic reaction.
microcell	very tiny fuel cell
apicomplexan	A parasitic protozoan
dermal	/DERM-əl/ adj
density	the ratio of mass per unit volume
mechano growth factor	A locally acting peptide, produced by muscle fibers when they are stimulated to produce mechanical activity, that stimulates muscle satellite cells to proliferate and become incorporated into the muscle fibers.
computer-assisted drug design	Computational techniques to design and optimize biologically active compounds with desired structure and properties.
glycolysis	The catabolic pathway by which a molecule of glucose is broken down into two molecules of pyruvate.
fluid mosaic model	A model describing biological membranes as a fluid lipid bilayer with embedded proteins; the bilayer exhibits both structural and functional asymmetry.
optimal foraging theory	Relates the costs of moving among different habitat patches to habitat quality and the distances separating patches.
intramatrical spores	another name for the vesicles produced in host roots by most endomycorrhizal fungi.
consortium	Two or more members of a natural assemblage in which each organism benefits from the other
initiator	A eukaryotic promoter sequence for RNA polymerase II that specifies transcription initiation within the sequence.
exoloma	the apical margin of the wings.
recombinase	An enzyme that catalyzes genetic recombination.
genotype	Genetic constitution of an organism.
galvanized iron	iron coated with zinc
site-directed mutagenesis	A set of methods used to create specific alterations in the sequence of a gene.
anaerobic	Pertaining to the absence of free oxygen
pg1 and pg3	Classes of prostaglandins that are known to have anti-inflammatory effects such as decreasing pain, increasing oxygen flow, dilating airways, and decreasing inflammation.
citric acid cycle	A cyclic system of enzymatic reactions for the oxidation of acetyl residues to carbon dioxide, in which formation of citrate is the first step; also known as the Krebs cycle or tricarboxylic acid cycle.
recursion	The repetition of a data-processing algorithm until a pre-set threshold is reached.
feedback systems	Control mechanisms whereby an increase or decrease in the level of a particular factor inhibits or stimulates the production, utilization, or release of that factor; important in the regulation of enzyme and hormone levels, ion concentrations, temperature, and many other factors.
lab-on-the-chip	Microfabricated system for performing biochemical assays such as e.g
fmn	Riboflavin phosphate, a coenzyme of certain oxidation-reduction enzymes.
cyclocreatine	An analog of creatine
vaporization	A change in the physical state of a material from a liquid to a gas.
synergist	An agent that increases the effectiveness of a ligand or other agent.
saturated fatty acid	A fatty acid in which all carbons in the hydrocarbon tail are connected by single bonds, thus maximizing the number of hydrogen atoms that can attach to the carbon skeleton.
golgi complex	An eukaryotic organelle involved in the secretion of certain proteins.
polarity of characters	The states of characters used in a cladistic analysis, either original or derived.Original characters are those acquired by an ancestor deeper in the phylogeny than the most recent common ancestor of the taxa under consideration
hydropathy index	A scale that expresses the relative hydrophobic and hydrophilic tendencies of a chemical group.
functional group	A group within a molecule that confers characteristic properties.
pyrite	A common iron ore
sickle-cell trait	A human condition recognized by the sickling of erythrocytes when exposed to low oxygen tension; occurs in individuals heterozygous for the allele responsible for sickle-cell anemia.
autopolyploidy	Polyploid in which all of the chromosome sets are derived from the same parent species.
anti-tumor drug	A drug that is capable of either stopping or slowing the abnormal growth of tissue
covalent bond	koh-VALE-unht/ A strong chemical bond where two atoms share a single pair of electrons.
mitigation	Legally mandated remediation for loss of protected species or ecosystems.
bond energy	Strength of the chemical linkage between two atoms, measured by the energy in kilocalories or kilojoules needed to break it.
trace elements	an element indispensable for life but required in extremely minimum amounts
endothorax	the internal framework or processes of the thorax.
art	Automated reagin test for syphilis.
hydrothermal vent	A warm or hot water emitting springs associated with crustal spreading centers on the sea floor.
association constant	The measure of the degree of association of a complex
dithiocarbamates	organic fungicides; dimethyl- (DMDC): thiram, ferbam, ziram; ethylene-bis- (EBDC): nabam, maneb, mancozeb, zineb.
metadata	Information about data that facilitates access and use of the data.
pectoralis	relating to the breast.
biotechnology	Use of living organisms to carry out defined physiochemical processes having industrial or other practical application.
incomplete dominance	A mode of inheritance in which the heterozygote has a phenotype that is intermediate between the phenotypes of either homozygotes
linear regression	A statistical technique of finding the best fitting straight line through a set of points representing joint values for two variables.
basal metabolism rate	minimum amount of energy required daily to support basic body functions
monotreme	n
lilacinous	lilac-colored [lilac].
neoteny	Heterochronic evolution whereby development of some or all somatic features is retarded relative to sexual maturation, resulting in sexually mature individuals with juvenile features.
adherent	attached or clinging to.
calcium phosphate	KAL-see-uhm FOSS-fate/ The compound making up 85 percent of the mineral content of bone
complement	A large group of proteins activated in sequence when cells are exposed to a foreign substance
polyribosome	See polysome.
hsf-1	Abbreviation for heat shock factor 1.
tooth fungi	members of the family Hydnaceae (Aphyllophorales: Basidiomycetes) in which the hymenium covers downwardly directed teeth.
community ecology	The study of how interactions between species affect community structure and organization.
antiretroviral therapy	The treatment of the human immunodeficiency virus (HIV) – or other types of retroviruses that multiply in the body – using drugs.
game theory	An approach to evaluating alternative strategies in situations where the outcome depends not only on each individual's strategy but also on the strategies of other individuals; a way of thinking about behavioral evolution in situations where the fitness of a particular behavioral phenotype is influenced by other behavioral phenotypes in the population.
felsic	Term used to describe the amount of light-colored feldspar and silica minerals in an igneous rock
cytokines	Peptide regulatory molecules that are involved in cell development and differentiation and in immune responses.
lipid peroxidation	The process by which free radicals "steal" electrons from the lipids in our cell membranes, resulting in cell damage and increased production of free radicals.
cell	Life's fundamental unit of structure and function.
molecular kinetic energy	See heat.
native structure	The 3-D structure of a protein in a living system.
homologous antigen	An antigen reacting with the antibody it had induced.
terminator	A DNA sequence that results in termination of transcription
cardiac hypertrophy	Refers to enlargement of the walls of the heart
braided river	n
antioxidant	A compound that inhibits oxidation, often because it is preferentially oxidized
laser	A device that emits an intense coherent monochromatic light beam.
flower	In an angiosperm, a short stem with up to four sets of modified leaves, bearing structures that function in sexual reproduction
frugivore	Animal which primarily eats fruit
sessile	Attached to a substrate
pulmonary circuit	The branch of the circulatory system that supplies the lungs.
dorsolum	the mesoscutum.
lactic acid bacteria	A group of gram-positive, non-sporing bacteria which carry out a lactic acid fermentation of sugars
neoclassical crosses	The F2, F2 B1 and B2 are "classical" hybrid crosses
aenescent	becoming or appearing bronzed or brassy.
aetc	AIDS Education and Training Centers
nanotechnology	technology at the atomic and molecular (nanometer) scale: 1 nanometer (nm) =1 ×10-9 m
proteasome	Large protein complex in the cytosol with proteolytic activity that is responsible for degrading proteins that have been marked for destruction by ubiquitylation or by some other means.
second law of thermodynamics	Energy tends to flow from concentrated to less concentrated forms.
red muscle	In general, a loose term referring to a vertebrate muscle that is rich in myoglobin and thus reddish in color
competition	Interaction between members of the same population or of two or more populations using the same resource, often present in limited supply.
enrichment	A condition which increases the proportion of a particular organism or mutant strain from a mixed population
leathery	having the appearance or texture of leather.
extremity	the point most remote from base.
spicule	Crystalline or mineral deposits found in sponges, sea cucumbers, or urochordates
chronic	Longer-term infection.
peptidase	An enzyme that hydrolyzes a peptide bond.
deficiency	Absence of a chromosome or chromosomal segment.
decomposition	The breakdown of dead organic material by detrivores or saprophytes.
receptacle	The base of a flower; the part of the stem that is the site of attachment of the floral organs.
vesicle	A membrane-bound structure used to shuttle molecules within the membrane.
thermal gradient	See temperature gradient.
alpha helix	A three-dimensional structure of a protein that takes on a coiled, cylindrical shape.
meta-analysis	A statistical technique for jointly analyzing the results of many studies on the same topic.
riffle habitate	A stream location with change in height of the stream bottom.
apc	see adenomatous polyposis coli; anaphase-promoting complex
meta-analysis	A method for the statistical re-analysis of experimental and correlational results from independent studies that address related research questions.
dendrobatidae	/den-droh-BAT-ə-die, -dee/ n
protoloma	the anterior margin of primaries.
ketone	An organic compound with a carbonyl group of which the carbon atom is bonded to two other carbons.
irregular	unequal, curved, bent or otherwise twisted or modified without order or symmetry, e.g
benthic	Organisms that live on the bottom of the ocean are called benthic organisms
allele frequency	Describes the commonness of an allele in a given population, i.e
affinity	Generally refers to the ability that two molecules have to bind to each other
community	All the organisms that inhabit a particular area; an assemblage of populations of different species living close enough together for potential interaction.
consensus sequence	A sequence pattern derived from the alignment of multiple sequences that represents the nucleotide or amino acid most likely to occur at each position in a sequence.
second law of thermodynamics	The second law says that no process is 100% efficient because heat is always produced
homeostasis	The processes used by the body to constantly achieve and maintain balance.
fat-soluble	Capable of being dissolved in fat.
medium	A nutrient-rich liquid used in tissue cultures.
day-neutral plant	A plant whose flowering is not affected by photoperiod.
inborn errors of metabolism	inherited diseases resulting from alterations in genes that code for enzymes.
collateral relative	Related through a common ancestor, not by a direct line of descent
temperature	A measure of the speed or intensity of the ceaseless random motions that all the atoms and molecules of any substance undergo on an atomic-molecular scale
adenosine triphosphate	The nucleotide formed by adding yet another phosphate group to the pyrophosphate group on ADP.
deamination	Loss of an amino group (NH2) from a base.
ap-1	A transcription factor that enhances the production of inflammatory mediators
seriatim	placed in longitudinal rows.
blood plasma	The part of the blood that remains after blood cells are removed; the part of the blood other than cells.
producers	Organisms that can produce their own food either by photosynthesis or chemosynthesis.
endothelial cell	Flattened cell type that forms a sheet (the endothelium) lining all blood vessels.
lunule	a lunate mark or crescent.
pulse-chase	An experiment in which a short labeling period is followed by the addition of an excess of the same, unlabeled compound to dilute out the labeled material
heat of combustion	quantity of heat energy given off when a specified amount of a substance burns in oxygen
model organism	A relatively simple organism that duplicates some critical aspect of a more complex system that would be difficult to manipulate experimentally
submolecular	A chemical component that exists at a lower level of complexity than individual molecules (electrons, ions, free radicals).
alga	Phototrophic eukaryotic microorganisms
lipodystrophy	The relocation of subcutaneous fat, commonly occurring in the extremities.
uv reactivation	A phenomenon in which survival of an ultraviolet-irradiated phage is greater upon infecting a host that has also been irradiated with UV than upon infecting a host that has not been irradiated with UV
eversible	capable of being turned inside out.
development	The recurrent sequence of progressive changes in organisms from inception to maturity.
da	Dalton unit.
demography	The study of statistics relating to births and deaths in populations.
calyculate	applied to antennae, whose cup-shaped joints are so arranged as to fit one into the other.
gram-positive	To describe a prokaryotic cell whose cell wall stains purple (positive) in Gram stain
flexuous -ose	almost zig-zag, without acute angles but more acute at angles than undulating: differs from sinuate in being alternately bent and nearly straight.
phosphorylation	The process of adding on a phosphate group to a molecule
adaptive radiation	The emergence of numerous species from a common ancestor introduced into an environment that presents a diversity of new opportunities and problems.
preflight warm-up	In an insect, warming of the flight muscles prior to flight
quencher	A substance that deactivates excited molecules by processes such as resonance energy transfer and complex formation.
carrying capacity	The theoretical maximum number of organisms in a population, usually designated by K, that can be sustained in a given environment.
cox-2	One form of the cyclooxygenase enzyme
disulfide bridge	A covalent linkage formed by oxidation between two cysteine SH groups either in the same polypeptide chain or in different polypeptide chains
branch migration	Movement of a cross bridge along two DNA molecules.
combustion	chemical process in which a fuel combines rapidly with oxygen to release energy and form products
reference gene	A gene whose expression level is used for normalization in relative quantification
molecule	two or more atoms held together by chemical bonds in a certain spatial arrangement
heterotrophs	An organism that obtains organic food molecules by eating other organisms or their by-products.
nanometer	Unit of length commonly used to measure molecules and cell organelles
drug	A substance that is used in the treatment of disease.
restriction-modification	The modification of host DNA to prevent cutting by a restriction endonuclease (see restriction endonuclease)
water mold	A common term for a member of the division Oomycota.
myosin	A protein found in muscle cells that interacts with actin to bring about muscle contraction.
heterozygous	Having two different alleles for a given genetic character
a band	In striated muscle, the region of a sarcomere that spans the length of the thick filaments
dipeptide	a compound formed from two amino acids
geminate	arranged in pairs composed of two similar parts: doubled.
excretory system	The organ system that disposes of nitrogen-containing metabolic wastes.
facilitated diffusion	The spontaneous passage of molecules and ions, bound to specific carrier proteins, across a biological membrane down their concentration gradients.
chelate	Combine reversibly, usually with high affinity, with a metal ion such as iron, calcium, or magnesium.
replicatile	capable of being folded back.
retrovirus	A family of RNA viruses that replicate by reverse transcription and then integrate into the host genome.
intracellular	occurring within the cell or in a cell.
radiant energy	the entire collection of different wavelengths, each with its own energy
parkinson's disease	A motor disorder caused by a progressive brain disease and characterized by difficulty in initiating movements, slowness of movement, and rigidity.
stop-transfer signal	Hydrophobic amino acid sequence that halts translocation of a polypeptide chain through the endoplasmic reticulum membrane, thus anchoring the protein chain in the membrane (See Figure 12–49).
squarrous	scurfy: clothed with rough scales differing in direction, standing upright, or not parallel to the surface.
logistic equation	An equation describing the idealized growth of a population subject to a density-dependent limiting factor
metalloids	elements between metals and nonmetals on the periodic table that do not fall cleanly into either group
stable equilibrium	A perturbed system returns to the same equilibrium state.
genetic banking	The deposit of an individual's genetic information to a database that enables the individual to control access.
ph	Common measure of the acidity of a solution: “p” refers to power of 10, “H” to hydrogen
fulgidus	shining.
bdelloplast	See Bdellovibrio
aerobic	Containing oxygen; referring to an organism, environment, or cellular process that requires oxygen.
caconym	KAK-uh-nim/ A taxonomic name considered bad for linguistic reasons.
proteoglycan	One or more glycosaminoglycans attached to a core protein.
eutheria	See Placentals.
histostructure	n
non-target organisms	organisms found with or near those being treated with a chemical or biological control agent; it is important that these agents have as little effect as possible on non-target organisms.
g2 phase	That period of the cell cycle between S phase and mitosis (M phase).
angustatus	narrowed; narrowly drawn out.
two-hybrid system	Technique for identifying interacting proteins using genetically engineered yeast cells.
mycetophagous	feeding upon fungi.
autoclaving	sterilization by steam under pressure (15 lb./in2) for prescribed time periods; better than dry heat, as sterilization is achieved at lower temperatures (121C).
precocial	adj
dual organisms	organisms which invariably consist of two interdependent symbionts, e.g
denaturation	Partial or complete unfolding of the specific native conformation of a polypeptide chain, protein, or nucleic acid.
pallid	pale or very pale.
ribosome	A tiny organelle in the cytoplasm of the cell that directs protein synthesis.
cadherins	An important class of cell-to-cell adhesion molecules.
testosterone	The most abundant androgen hormone in the male body.
reciprocal crosses	Pairs of genetic crosses which in one case DNA from strain #1 is transferred into strain #2 and in the second case the strain #2 is used as a donor to transfer the same region into strain #1
docking protein	A synonym for signal recognition particle receptor.
r loop	A triple-stranded structure in which RNA displaces a DNA strand by DNA-RNA hybrid formation in a region of the DNA.
campestral	applied to species inhabiting open fields.
beta sheet	Common structural motif in proteins in which different sections of the polypeptide chain run alongside each other, joined together by hydrogen bonding between atoms of the polypeptide backbone
outer membrane	The lipopolysaccharide (LPS) containing layer, containing some proteins, which surrounds the cytoplasmic membrane and forms the outermost layer of most Gram-negative bacteria
dissociation constant	Measure of the tendency of a complex to dissociate
dermal glands	hypodermal unicellular glands which secrete wax, setae, spines, etc.
inductive reasoning	A type of logic in which generalizations are based on a large number of specific observations.
phenocopy	Result of an environmental influence which mimics the effect of a specific allele not possessed by the individual; not transmissible.
spinal reflex	A reflex mediated by neural circuits of the vertebrate spinal cord.
epigenotype	A phenotype derived by mapping epigenetic parameters, such as DNA methylation.
high-level radioactive waste	products of nuclear reactions that have high levels of radioactivity and, because of the long half-lives of the radioisotopes involved, require essentially permanent isolation from the biosphere
multiplicity of infection	The ratio of virus particles to cells in a system.
glossate	furnished with a spiral tongue.
plateau phase	The nonexponential phase of PCR that occurs after many cycles, when the rate of amplification decreases.
desalination	any process that removes ions from salty water
addition polymerization	type of polymerization in which the monomers add to the growing chain in such a way that the polymer contains all the atoms of the monomer
aminoacyl—trna synthetases	A family of enzymes, at least one for each amino acid, that catalyze the attachment of an amino acid to its specific tRNA molecule.
valence shell	The outermost energy shell of an atom, containing the valence electrons involved in the chemical reactions of that atom.
sedentary	not active: settled or remaining in one place.
aldosterone	A steroid (mineralocorticoid) released from the adrenal cortex that maintains salt and fluid balance in the body
scientific notation	system for writing numbers as the product of a number and 10 raised to the appropriate power
luciferin	A compound capable of light emission during bioluminescence
sodium channels	Gated ion channels that are necessary for glutamate release
parietal lobes	Sections of the brain that are involved with cognition, information processing, spatial orientation, and the perception of stimuli related to touch, pressure, temperature and pain.
transfer rna	Any of a family of low-molecular weight RNAs that transfer amino acids from the cytoplasm to the template for protein synthesis on the ribosome.
folic acid	A B vitamin essential for production of new cells and important for the metabolism of homocysteine.
multiplex assay	A procedure for the parallel analysis of pooled samples.
synanamorph	one of two or more different anamorphs which develop simultaneously, or are otherwise known to be associated with a single teleomorph.
decumbent -ous	sloping gradually downward.
dendrimer	A branching polymer
terminal electron acceptor	The molecule that is the final acceptor of electrons in a metabolic pathway (for example, in aerobic respiration, oxygen is the terminal electron acceptor).
meristem culture	Sterile growth of meristem of angiosperm
inner nuclear membrane	The innermost of the two nuclear membranes
homotropic enzyme	An allosteric enzyme that uses its substrate as a modulator.
peptide	Two or more amino acids joined by a peptide bond.
electronegativity	measure of an atom's attraction for the electrons it shares in a covalent bond
activated complex	The molecular assembly that corresponds to the transition state of a chemical reaction.
autoimmune disease	Characterized by an abnormal immune response to a person's own (self) antigen.
chromosome	A threadlike, gene-carrying structure found in the nucleus
trehalose	A disaccharide made out of two glucose molecules that has been shown to stabilize proteins
anthropoid	A member of a primate group made up of the apes
oxygen	An element active in physiological processes and crucial to brain functioning.
mutagen	A substance or agent that causes genetic mutations.
dyad symmetry	Property of a structure that can be rotated by 180° to produce the same structure.
toadstool	see MUSHROOM, AGARIC; toadstool is a confused term -- it is assumed to refer to poisonous agarics, but many so-called toadstools are harmless; use `agaric' instead, and join the cognoscenti.
complement fixation	The consumption of complement by an antibody-antigen reaction.
n-formyl methionine	Starting amino acid in the synthesis of all bacterial polypeptides.
inosital hexaniacinate	A variation of niacin
autotroph	An organism which does not require any organic carbon for its energy source or for its growth.
visking tubing	synthetic material containing tiny pores.
article	a joint or segment.
metabolon	A supramolecular assembly of sequential metabolic enzymes.
peta-	A prefix indicating 1015; a quadrillion.
bryophyte	Mosses and liverworts, small "primitive" land plants.
anatomical dead space	In the lungs of an animal, the sum total of the conducting airways; that is, that portion of the lungs that does not participate in the exchange of respiratory gases between air and blood.
coprine	a rare amino acid found in the agaric, Coprinus atramentarius; its effects mimic those of antabuse (q.v.)
