frequency modulation synthesis	See Wave Table Synthesis.
crt	Cathode ray tube; an older type of computer monitor that offers better color quality than an LCD monitor.
screen	The part of the computer monitor on which information is displayed.
blacklist file	A file of blacklist words.
subdomain	A subdomain is a hostname which depends on (belongs with) a domain name
compression	Compression is a technique that reduces the quantity of bandwidth or bits required to encode a block of information
quantum dots*	A class of nanocrystals that emit varying colors of light depending on their size
cyberspace	Unlike most computer terms, "cyberspace" does not have a standard, objective definition
green book	See Book.
type member	Class member.
logical operator	Symbols representing the concepts "and", "or", "xor", and "not".
client	a software module that depends upon other modules for services.
driver package	a software component that may be incorporated into database client software, allowing it to use a particular driver
obs	File extension
parameter	see Input parameter, Output parameter
plug-in	Add-ons for Web browsers
polymorphism	A term used in object oriented programming
stop words	Common words, such as articles, prepositions, and pronouns that are not used in a search when entered in a query.
dba	Adding or subtracting bandwidth from a switched connection in real time without terminating the link
contacts	See Address Book.
method	an action that may be performed on an object
resolution	The number of pixels that your monitor’s display can show, both horizontally and vertically.
interpreter	A program that translates and executes another program one line at a time.
authoring tool	An Authoring Tool is a program that enables a multimedia author to create a multimedia product
assembly	A step in semiconductor manufacturing in which the chip (die) is either encased in a plastic, ceramic or other package or assembled directly on a printed circuit board.
presence check	A validation check to ensure that the value of a required input has been entered.
the web	More Internet shorthand for the World Wide Web.
vshare	Sometimes spuriously listed as having failed to load in Bootlog.txt
removable media	Storage media, such as a CD, DVD, or flash drive, that can be taken away from your PC.
increment	To increase the value of something by 1 (or by some other number, if so specified).
rootkit	A particularly nasty form of computer malware
mailbase	The email discussion list service to which JISCMail is the successor.
if statement	A statement that allows selection.
connection	Windows uses the word "connection" in a potentially very confusing way
setuid	Said of a program that runs with the privileges of its owner rather than (as is usually the case) the privileges of whoever is running it
mad	Microsoft Active Directory.
web page	A document on the World Wide Web
group	A set of users of which you are a member
harmonized user experience	A functional user experience that is sufficiently harmonized with the delivery context to meet the quality criteria of the author.
length scale*	The size range within which an object falls; e.g
spnego	Simple and Protected GSSAPI Negotiation Mechanism (SPNEGO) is a GSSAPI pseudomechanism that negotiates one or more real mechanisms
proprietary software	A program owned or copyrighted by an individual or a business and available for use only through purchase or by permission of the owner.
graphic symbols	symbols used to represent program units, relationships, types, objects, and exceptions.
indirection	If something in a program isn't the value you're looking for but indicates where the value is, that's indirection
fine pitch	fine pitch is more commonly referred to surface-mount components with a lead pitch of 25 mils or less.
vbscript	Visual BASIC Script
template	A skeleton design
standard error	The default output stream for nasty remarks that don't belong in standard output
retire	The act of withdrawing a document from usage
rtsp	Real Time Streaming Protocol.
gst	File extension
pid	Process ID (PID): A unique number that your server assigns to each process that runs.
microsoft esp	A "platform" for simulation programs
rc	Release Candidate
boolean operator	An operator that acts on Boolean (True/False) values
sleep mode	A state in which the computer slips into a special, power-saving setting, like going into a low-power coma.
digital data	Data that can have only a limited number of separate values
dsr	Data Set Ready
sonic	A publisher of CD burning software
byte	A byte is a unit of measurement of data size
pdk	Platform Development Kit
assignment	An operation that gives a value to a variable.
barrier condition	condition associated with a protected entry body that is similar to a guard associated with an accept statement
mnp5	Microcom Networking Protocol
append	Add data to the end of an existing textfile.
usage analysis	Data collected to evaluate how a Web site is being used, such as visitor user names, number of visits to each page, and the types of Web browsers used.
extension	A Perl module that also pulls in compiled C or C++ code
mmorpg	Massively Multiplayer Online Role-Playing Game
script	A script is lines of source code stored in a file that will be executed by an interpreter.
endian	See little-endian and big-endian.
weblog	Also web log or blog
flush	The act of emptying a buffer, often before it's full.
checking for meaning	This is an alternative phrase for semantic analysis.
broadcast markup language	Broadcast Markup Language (BML) is an XML-based standard developed by the Association of Radio Industries and Businesses (ARIB)
elementary type	an Ada type that does not have components.
riven	The sequel to Myst (see that entry).
annotations	Annotea is a LEAD (Live Early Adoption and Demonstration) project enhancing the W3C collaboration environment with shared annotations.
acpi	Advanced Configuration and Power Interface
member	A member, or subscriber, is someone who is subscribed to a mailing list.
curly brackets	{ and }
baud	Bits per second.
udp	User Datagram Protocol
ruby ranges	A Range represents an interval.a set of values with a start and an end
device driver	A piece of software which converts general commands to devices (such as a command to a printer to print a capital letter A in Arial at 12 point) into the specific commands required for that precise model
switchless resellers	A carrier that does not own facilities or switches, but purchases minutes in high volumes from other carriers and resells those minutes.
graphic interchange format	See GIF
active rule markup language	Active Rule Markup Language (ARML) for Sharing a Rules among Active Information Management System
if statement	a compound statement with conditional branching; it can have "elsif" tests and a final "else" part.
mpaa	Motion Picture Association of America
sap filters	See NetWare call filters.
Glossary extracted starting with manual seeds, with PTM for the domain gam and language EN

tdc	platform
lcd	Acronym for "Liquid Crystal Display"
camera	In most 3D games, the player's vantage point tends to change, often on-the-fly
hrs	Hyper-Threading
tile editor	A utility program used to create, view, and modify tiles.
source	The code for a program before it is compiled into a binary executable.
hp sim	SIP
nintendo wi-fi connection	The Nintendo Wii and DS use Nintendo Wifi connection to connect to the internet
vmedia	virtual partition
cios	A custom version of an IOS, used by Homebrew apps (like Backup launchers).
resolution	A term that describes the level of detail in a game's graphics
bullet hell	Term used to describe difficult 2D shooters with waves of raining missiles.
lamer	A person who is not simply ignorant, but makes no effort to correct his lack of knowledge.
mop	Management Processor
ios	Input/Output System
pre-rendered graphics	Used in many early 3D adventures, the scenery is static and viewed from a fixed camera angle
oe	Operating Environment DVD
bit	The smallest unit that can carry information in a computer - this is a base 2 number, equaling either 0 or 1.
dcoe	DCOE
vse	vKVM
fs	For Sale
webes	WEBES
icap	Integrated Lights Out (iLO)
fps	First Person Shooter
ai	This term is descriptive of how smart CPU-controlled characters behave in a game
camp:	Technique often used in first-person shooters, the player will hide in a corner or hard-to-see spot, taking out opponents from there.
fatality	In certain fighting games this is a gruesome act inflicted on your opponent after defeating him
polygons	Small individual shapes that fit together to form complex 3-D models
bmc	BIB
mcoe	MOP
combo	In many fighting games this is a string of moves that can be executed in rapid succession.
tank	Character who can take a lot of damage
wfc	See Nintendo Wi-Fi Connection.
rom	Read Only Memory
frame-rate	A term that describes the smoothness of motion in a game
difficulty switches	Available on certain Atari consoles (like the 2600), these switches let you to set separate skill level for each player
lagger	Someone with a slow connection, or who is late to react.
revenue share	Business model in which chassis is supplied at a low price and content is leased free of charge, and net sales are shared in accordance with the operation of equipment.
ci	concurrent upgrade
cpu	Technically it stands for Central Processing Unit, but in the context of video games it's a general term used to describe the elements of the game controlled by the computer program and not by the player
timer	A method of measuring the speed of the execution of instructions so that animation can be controlled.
smart bomb	Popularized by Defender (1981), this weapon instantly destroys all enemies visible on the screen
mp	InfoServer
compiler	A program that turns higher programming language in a language that can be used by machines.
opera	A web browser, like IE and Firefox
ticap	TiCAP
score	The cumulative number of points earned.
cheats	Special codes that allow you bypass the normal limitations of a game
binary	A term used to describe the base 2 number system when used with electronics
lithium-ion	A commonly used battery for electronics
mp	Integrity VM
lan	Local Area Network
special effect	Any unusual or special visual image or sound or music.
openvms instance	Instant Capacity
ssl	server blades
server complex	computer interconnect
demo	A trial version of a software or game usually released by the developers of the software for promotional purposes
shoulder buttons	Found on the controllers of most modern systems, these are located on the side of the controller that faces away from the player
compactflash	A type of flash memory module, that is one of the largest used in GBA and NDS flash kits
full brick	A state where the Wii system menu can't be accessed at all
emulator	A program that simulates other hardware, so that software for that hardware can be played on other hardware.
ticap	iLO
target drive	System Integrated Product
patch	(General software term) Files distributed by the developer after a product is released that will change the software when they are installed
usb loader	A backup launcher with the ability to load games from a USB device
energy	A scale representing how close a player is to death
cdsa	Secure Sockets Layer
wi-fi	Short for "Wireless fidelity"
boe	Baseboard Management Controller
ntsc	National Television Standards Committee
first-person	A point of view which lets you view the action through your character's eyes
hp sim	HRS
sip	local area OpenVMS Cluster system
3ds	See Nintendo 3DS
wbem providers for openvms	Web-Based Enterprises Services
ft	For Trade
firmware	Code that is written for a programmable chip
starlet	The unofficial name for the ARM coprocessor located in the Hollywood, which is responsible for the peripheral access and security control.
shmups	Short for "shoot 'em ups"
opera	A brand of Web Browser
cdsa	HSx device
gui	Acronym for "Graphical User Interface"
"tempting fate"	A generally unwise decision involving toying with an enemy in order to gain the opportunity to score bonus items or points
mop	MP
warranted support	Mission Critical Operating Environment
patch	When a large program is released that has a bug, a patch is usually released instead of having the user download the whole program again
oe dvd	operating system CD
lan	Acronym for "Local Area Network"
layered products	source drive
bit-rot	The degradation of the digital information held on a chip
boot2	The third stage of the boot process
beta	Software that is still incomplete has the Beta status
slow-down	When more objects are on the screen than a system can handle, the game tends to slow down, often to the detriment of the gameplay.
ipm	instance
nintendo 3ds	The latest handheld from Nintendo
hack	modification of a file or a system
stack	The memory of a program
library	Generally given the extension *.a, a library is a compilation of source code that may be linked into a program.
migration support	WBEM
li-on	See Lithium-Ion.
rapid-fire	Allows you to shoot fast and continuously by tapping the fire button, or in some games, simply holding it down.
frag	A term associated with shooting something in a first-person shooters, usually a human-controlled opponent.
"glory seeking"	Taking a particularly dangerous course of action for the opportunity to score bonus points
c++	An object oriented language homebrew developers program in
compile	To convert the instructions in source code to an executable format usable by the target platform.
advanced server for openvms	Performance Data Collector
gui	Graphical User Interface (basically means that there's more than text on the screen).
gwlm	gWLM
mplayer	A media Player that can load movies from Disc and USB.Multiplayer -- If there are two or more players, this is called multiplayer
wbem providers for openvms	provisioning
title metadata	A format used for storing metadata about a title and its installed contents, including which contents they consist of and their SHA1 hashes.
bad rom/dump	A ROM (See ROM) that has been dumped (See Dump) incorrectly, which may cause it to produce errors during execution or may stop it from working as it should
teabagging	A nasty practice where a player will crouch over a just-killed player’s body, appearing to dangle his private regions in the face of the dead player.
mop server	MOP server
hack	A game that "reuses" code from an older game
flash memory	Storage space that is stored on a chip instead of a disk that must be read like a harddrive
mp	MCOE
isometric view	Instead of viewing the action directly from above or directly from the side, an isometric view allows you to look at the action from a diagonal, tilted overhead angle.
eoe	EOE
gaming	1
download play	Allows two DS users to play multiplayer together
sip	Systems Insight Manager
dssi	disk server
attract mode	Most present in early consoles like the Atari 2600, this mode causes a game not being played to cycle through colors on the screen to minimize the possibility of having images burn into the screen
pwned	Owned, beaten, defeated
nfo	NFO, an abbreviation of "info"
anti-aliasing	A programming technique (or hardware capability) that automatically smoothes jaggy edges, and is often used for making low-resolution images look more attractive.
rf cable	A low quality signal sent over coaxial cable (used for cable TV)
good rom/dump	this term was originally used for ROMs that were validated by the GoodTools
efi	Providers
electronic gate	A device which takes electronic signals (inputs) and outputs a signal based on the status of its inputs
usb	Acronym for "Universal Serial Bus"
easter eggs	Undocumented objects or features hidden inside of video games
sandbox	Describes an open-ended, go-anywhere style of play employed in games like Gran Theft Auto 3.
virtual console	A service of Nintendo to allow you to download and play games from older consoles
cdsa	complex
cios	A customized/hacked version of an IOS.
bandwidth	The frequency range of a particular transmission method
resolution	The dimensions of an image, in pixels, typically expressed as the number of horizontal pixels across and the number of vertical pixels down
subagent	An agent who sells subsidiary rights on behalf of a primary agent
java	A powerful, Web-friendly programming language developed by Sun Microsystems that gives programmers substantial control over the look and function of the interface.
agent	A publishing professional who shepherds books and authors through the publication process
paid-on-delivery subscription	Term subscription, the price for each issue of which is collected when it is delivered or, in case an advance payment is made with order, the prorated balance is collected at time of delivery of each issue.
net amount received	Usually the amount actually received by the publisher from sales of a work, sometimes also after taking out taxes and/or certain expenses (watch those contract definitions!).
shutter speed	A shutter electronically controls the amount of time that light passing through a lens exposes onto the CCD
editorial letter	The list of suggested changes an editor will ask an author to make prior to publication
pre-empt	When a publisher really likes a project they may make an aggressive offer in order to pre-empt an auction (also known as "taking the book off the table")
reliability	The degree to which a research sample result conforms with the result that would be obtained if a complete census were taken.
hertz	A unit used to measure frequency
slate	.  A small blackboard-like device recorded on-camera that gives program information (name, title, date, take numbers).
video	The visual portion of television production.
browser	An application used to view and navigate the World Wide Web and other Internet resources.
bitstream	A collection of data, as in video or audio data compressed to a file or transmitted between devices.
query letter	A letter describing your book, which will hopefully make an agent want to read more
unit audit	An audited report attesting to the accuracy and validity of the number of units, plants or establishments a  ublication is serving.
matte	An image mask used to define the transparent areas of each frame to be used in superimposing multiple clips
season	Publishers organize their titles by season
a/v mixer	See audio/video mixer.
opaque	Regions of a superimposed image that are solid (not transparent), and therefore cover over the underlying image
delivery date	When your manuscript is due
intranet	A private network that uses Internet-related technologies to provide services within an organization.
sponsorship	Payment for advertising related to an event or programme that supports the running of the event or the production of the programme
antialias	To smooth out a jagged or stair-step appearance or motion between adjacent points so that it appears continuous.
meta tag	A specific kind of HTML tag containing information not displayed to the user.
territory	The countries in which rights are granted in a publishing contract.
bug	Problem with computer software or hardware that causes it to malfunction or crash.
bleed	1
composite	See
merchant account	A contracted agreement between a merchant or business owner selling a product and the credit card company responsible for collecting the sale proceeds
hardware	Hardware comprises all of the tangible elements in a computer, as distinguished from the data it contains or operates on and the software that provides instructions for the hardware to accomplish tasks.
anti-alias	Removing the jagged edges from letters or graphic elements such as titles and 3D objects.
jitter	Small and rapid variations in a waveform due to mechanical disturbances, changes in the characteristics of components, supply voltages, imperfect synchronizing signals, circuits, etc.
kb	A (or kilobyte) unit of information or of computer storage equal to one thousand bytes.
arcs	Advance copies of a book for review
new media	Online and digital ways of receiving information.
publisher	The company that publishes your book.
hiatus	A scheduled period of inactivity between advertising flights.
voice over	The voice in the background heard as the narrator.
nonexclusivity	When a publisher only has nonexclusive rights in a certain territory the author may then grant those rights to another publisher as well.
original	The earliest generation in the archive
frequency	A measurement of an analog signal's vibration, represented as cycles persecond or Hertz (Hz).
conservation plan	A clear articulation of the decision-making process around a proposed course of action, the likely effects of such action and its justification.
d series tape formats	A series of broadcast digital formats, designated D1, D2, etc
sync	The portion of an encoded video signal that occurs during blanking and is used to synchronize the operation of cameras, monitors and other equipment
nanosecond	A measurement of time
emulation	A digital preservation strategy that uses current software to simulate original or obsolete computer environments
scission	The process in which a chemical bond in a molecule is broken either by reaction with another molecule, such as water, or by the absorption of a high energy photon.
go-tos	Programming instructions that tell a computer to skip from one line of code to another
html	HyperText Markup Language (HTML) is a programing language for web pages
php	Programming language used for creating software that is part of a web site.
logotype or logo	Two or more letters or a whole word or distinctive setting of a name, cast as a single piece of metal; a standardized pattern as for the advertiser's name or trademark.
video blog	 a blog the produces regular video content often around the same theme on a daily or weekly basis
bdi	A measure of the strength of a brand's sales in a particular geographic area indexed to the national sales average.
blurb	A quote from an author or reviewer in praise of a book
cartridge	A case or container, inserted into a larger piece of equipment, which is easily exchanged, for example a game cartridge in a console, or an ink cartridge in a printer.
lumen	1
eform	An electronic form that is filled out by a user and sent over a network
treatment	  A brief description of a film topic or idea.
fiber optic	Fiber optic technology uses glass (or plastic) threads (fibers) to transmit data
noninterlaced	The process of scanning whereby every line in the picture is scanned during the vertical sweep.
genre fiction	A blanket term that refers to books with certain familiar settings and plot conventions
quadraplex	See 2-inch Quad/Quadraplex.
mass market paperback	Rack sized paperback
cohesive force	The force that holds a material together.
uxga	Resolution of a computer generated image
digital	A signal which consists of a series of discreet values, as opposed to an analogue signal, which is made up of a continuous information stream.
duration	A length of time
narrative nonfiction	Nonfiction that illuminates through story
relative humidity	The amount of water in the air relative to the maximum amount of water that the air can hold at a given temperature.
ilink	See
reprint	1
display device	A display device is a presentation device for visual information
glitch	A form of low frequency interference, appearing as a narrow horizontal bar moving vertically across the picture.
aspect ratio	Aspect ratio refers to the relationship or ratio between the width of the image and the height of the image
y-cable	A cable that splits the monitor signal so that it will work simultaneously with both a monitor and a LCD panel.
bmp	The standard Windows bitmap still image file format
dc	Direct Current
oe	The unit of magnetic field strength
source code	Program instructions in their original form
encryption	A procedure that renders the contents of a message or file unintelligible to anyone not authorized to read it
cross-fade	  See
micron	A unit of measure for the thickness of magnetic tape
hydrolysis	The chemical process in which scission of a chemical bond occurs via reaction with water
dhtml	A new version of HTML, developed by Netscape and expanded by the W3C (the World Wide Web Consortium)
denotation	A description of a media text indicating its common sense, obvious meaning.
video art	The term 'video art' is understood to refer to expressions of visual art in which video is used as a medium, both in the production process and the presentation.
playback hardware	Equipment needed to play back video
application programing interface	 An API is a documented interface that allows one software application to to interact with another application
foldover	Tape that has folded over resulting in the oxide surface facing away from the heads.
perfect binding	Method that produces flat opening, as in telephone directories; distinguished from side (saddle) stitching.
hz	Hertz
code	Instructions written in a language a computer can understand and execute
net surfing	Browsing or exploring a network or the World Wide Web to find places of interest, usually without a specific goal in mind
transcode	The process of converting a media file or object from one format to another
longitudinal recording	A recording format in which a slow or fast moving tape is passed by a stationary magnetic record or play (write or read) head
frame rate	Playback speed as determined in frames per second
crawl	To scroll a line of title text sideways, left or right across the screen
facebook	 a social utility that connects people with friends and others who work, study and live around them
pet	Abbreviation for Polyethylene Terephthalate.
mp3	An audio file format, especially popular for downloading songs from the web and for storing music in and portable music players
operating system	The base-level software on which applications like word processors or Internet browsers run
quintile	The division of the audience or sample into five equal groups ranging from heaviest to lightest amount of exposure to any medium.
compressor	Program by which files are
decoder	A device used to recover the component signals from a composite (encoded) source
database	A collection of information concerning a certain topic organized in a logical fashion for easy access and speedy retrieval.
html	The code used to generate hypertext documents on the World Wide Web through the use of tags and attributes
crosslinking	A chemical reaction of polymers
internet service provider	A business that delivers access to the Internet, usually for a monthly fee
publisher‚äôs statement	Certified statement of circulation and distribution data for a six-month period made by a publisher and issued unaudited, but subject to audit.
pot	  See potentiometer.
field	The building blocks that create cataloging records
2-3 / 3-2 pulldown	Process used to convert material from film to interlaced NTSC display rates, from 24 to 30 frames per second
cav	The disc speed remains constant while the head-to-disc speed changes
rhetorical questions	the devil's preferred method of beginning query letters
ccd	Charged Coupled Device
emoticon	A cute sideways face created by using special characters on the keyboard
rebate	1
path	The hierarchical description of where a directory, folder, or file is located on your computer or on a network 
unpaid distribution	A term used in the ABC report; reported by averages for the six-month period covered by that report
archival storage	Storage conditions specifically designed to extend or maximize the lifetime of stored media
cpm	Cost per 1,000 impressions
passivate	A chemical process which forms a protective coating on a metal
connotation	A description of value, meaning or ideology associated with a media text.
ntsc	National Television Standards Committee created the first international television system for use in the U.S
gain	Overall audio output volume
video preservation	An archival system that ensures the survival in perpetuity of the program content according to the highest technical standards reasonably available
breakdown	The division of circulation as to types of business or industry reached, the functions or titles of recipients, and/or their demographic characteristics or geographical location.
hit	A single user accessing a single file from a web server
telemarketing	Using the telephone to promote and sell goods and services.
ip address	A string of four numbers separated by periods (such as 111.22.3.444) used to represent a computer on the Internet
strip	A program scheduled at the same time each day, typically Monday-Friday.
share	The percent of an audience tuned to a particular program at a given time.
social media monitoring	A process of monitoring and responding to mentions related to a business that occur in social media.
removals	Names of individuals or companies removed from the mailing list of a publication.
domain name system	A database system which looks up host IP addresses based upon domain names
rear projection	Projecting an image through a translucent screen material for viewing from the opposite side.
advertising	Making something known generally or in public, especially in order to sell products or services.
vbr	Acronym for Variable Bit Rate
pal	Phase Alternation by Line
network	An arrangement of devices such as servers, computers, and printers joined by transmission paths by which programs make requests of one another
first pass pages	Once the manuscript is copyedited, the pages are then type-set and designed to look like how they'll look when the book is bound
alpha channel	Extra information stored with an image to define  transparent areas used for keying and superimpositions
open source	A technique for writing software in which original authors make source code freely available for modification and improvement by any programmer who wishes to collaborate on the project
mirroring	Duplicating a file, typically a Web site, in another location so as to distribute access to or safeguard the original work.
snow	1
rgb	Acronym for red, green & blue
transparent	Regions of a superimposed image that are invisible, and therefore show through to the underlying image, as used for logo overlays and blue-screen effects
object-oriented	A style of computer programming that emphasizes writing chunks of code in a generic and encapsulated way in order to reuse these code "objects" for future projects.
hyperlink	A highlighted word or picture within a hypertext document that when clicked takes you to another place within the document or to another document altogether.
scroll	Graphics that roll from the bottom to the top of the screen (e.g., end credits).
commission	The amount an agent receives for their services
phono connector	See
positive	1
link	A highlighted word or picture within a hypertext document that when clicked bring you to another place within the document or to another document altogether
white balance	White balance is the camera setting that adjusts for lighting in order to make white objects appear white in photos
non-qualified distribution	That circulation which doesn't conform to the field served and definition of recipient qualification.
bit	Shorthand for binary digit, which has two optional values "0" or "1." Eight bits means 8 binary digits
internet explorer	A free web browser application from Microsoft.
cookie	Information stored on a user's computer by a website so preferences or details are remembered for future visits to that site.
thermal	An effect related to changes in temperature
partial	A partial manuscript
green screen	A common special effects procedure in which a subject is photographed in front of a uniformly illuminated blue or green background
world wide web	The Web (WWW) is a constellation of servers that supports a specific form of documents coded in HTML, a format that allows users to navigate via links to other documents in different servers
genre	A category of media texts characterized by a particular style, form or content.
retensioning	The process where a tape is unspooled onto a take-up reel and then rewound at a controlled tension and speed
fill light	  A third light used in studio production designed to fill in and eliminate shadow areas caused by the use of a key light.
carrier	The physical medium on which the video/data is recorded.
iso	The organization, founded in 1947 and made up of representatives from national standards bodies, that produces worldwide industrial and commercial standards.
domain name	The official name of a computer connected to the Internet
british commonwealth	A huge list of countries, territories, and random islands, many of which you may not have ever known existed, and which were once apparently colonized by Mother Britain
bound galleys	(see "galleys")
frames	The individual video images that make up a moving sequence
pan	  See balance.
roll	To scroll lines of title text vertically up or down the screen
two-color process	Reproduction process from two plates printed in contrasting colors giving a fullcolor effect.
rh	Abbreviation for relative humidity.
spotmeter	  A device that measures the intensity of reflected light, like on a lighted set.
congestion	A state occurring in a part of a network when the message traffic is so heavy that it slows down network response time.
indemnity	In a publishing contract a publisher will typically require the author to indemnify the publisher against losses sustained due to a breach in the author's warranty (see also "warranty")
mb	A megabyte is a unit of information or computer storage equal to one million bytes.
editorial	1
gain	Gain is a system's mean ratio of signal output to signal input.
cdi	A measurement of a brand's sales potential using sales of all brands within a category in a specific market indexed to national sales average.
dolly	Any apparatus upon which a camera can be mounted, which can be moved around smoothly.
shutter speed	The shutter electronically the amount of time that light passing through a lens exposes onto the CCD
shuttle	To move rapidly through a program, as with scan forward or scan reverse VCR controls
video sculpture	An installation consisting of one or more monitors, its form reminiscent of a 'traditional' sculpture
registration	The laying down of the rights of ownership, the identity and the condition of an object or group of objects
video installation: multichannel	An installation in which at least one of the media used is video.
pedestal	1
royalty period	The accounting schedule for royalties
book plates	Stickers that go in the front of a book and often allow the owner of the book to sign their name
contrast	The difference between the brightest and darkest parts of the picture.
buyer	The person at a bookstore or library who is responsible for ordering books.
leadroom	 The area between a subject shot in profile and the edge of the screen they are facing.
online	Storage and retrieval system where assets are immediately available for use or directly connected to a network or computer through fixed disk storage.
complexity	The use of a variety of camera angles and editing to enhance the intensity of action in a scene.
copyeditor	A grammar and spelling ninja who is responsible for making sure books do not have typos, geographical errors, or dangling modifiers
pc	1
download	To transfer data from a larger "host" system to a smaller "client" system's hard drive or other local storage device
software-for-hardware	A type of emulation that simulates a program's native hardware environment on a machine that it was never intended to run on
decibel	Logarithmic measurement of signal strength
direct mail	Advertising or marketing material posted to people at home or work.
netnews	The content of USENET.
response rate	In sample research, a calculation of the percentage of initially designated sample units providing a response in a given survey
gross rating points	The sum of individual ratings in a media plan.
hacker	computer programmer of outstanding skills
trade paperback	Mid-size paperback.
media literacy	The process of understanding and using the mass media in an assertive and non-passive way
broadband	High-speed data transmission or a transmission medium in which a wide range or band of frequencies is available to transmit data, allowing more information to be transmitted in a given time frame
bit mapped graphics	The type of graphic that is defined and addressed on a bit-by-bit basis which makes all points on the screen display directly accessible.
movie file	The file created by combining the audio, video, and still images contained in your project
compression	The term used to describe the method of eliminating redundant information in each frame of digital video
copy protection	A software lock placed on a computer program by its developer to thwart piracy
backing	Backing film layer that supports the magnetic layer in a magnetic tape
loop	  a brief, repeatable audio segment (usually one or two measures long) used as a building block of a song created using music-creation software.  Such a song might include a drum loop, a bass loop, a keyboard loop, and a guitar loop, all of which are combined and repeated to create a song.
dimmer switch	A control used to gradually increase and decrease the electricity sent to a lighting fixture, thereby affecting the amount of light it gives.
business publication	A business publication is one dealing with management, manufacturing, sales or operation of industries or businesses, or some specific industry, occupation or professions, and which is published to interest and assist persons actively engaged in the field it covers.
downstage	Toward the camera.
read receipts	An optional email feature that notifies you when a recipient has opened the email message you sent him
data rate	The speed at which data is transferred, as in bytes per second
reinterpretation	The most radical preservation strategy is to reinterpret the work each time it is re-created
stinger	It's a new category of soundtracks
hypertext transfer protocol	The protocol used by the World Wide Web to transfer HTML files.
literary fiction	Fiction that is characterized by a plot that is typically beneath the surface and which is usually characterized by a unique and recognizable prose style.
bookmark	A routine that allows you to save a reference to a site or page that you have already visited
royalties	The amount an author receives on every net copy sold of their book (see "net sales")
rom	See ROM image.
preservation	The total of measures and actions aimed at consolidating the condition of an object, counteracting detected decay or preventing further decay that can be expected with certainty to occur within the foreseeable future.
macro lens	A lens used for videography when the camera-to-object distance is less than 2 feet
residuals	Fees paid to performers and other creative talent for subsequent exposures of their filmed or video programs or commercials.
coverage area	The specific geography where a media vehicle has its coverage
hygroscopic	Said of a material which has a tendency to absorb water
gamma	A display setting related to the brightness of the middle tones of an image
protocol	A specified, agreed-upon format that determines how computers send and receive data to and from each other on a network
production values	Describes the quality of a media production—which is generally proportional to the money and technology expended on it.
credit	Title text that identifies the people who contributed to a production
psychographic	Describes consumers on the basis of some psychological trait, characteristics or life style.
real audio/video	A product that works in conjunction with some Internet browsers to enable the user to listen or view live or pre-recorded content in real time.
stress	Force per unit area, such as pounds per square inch (psi)
remaster	See migrate.
spam	Unwanted, unsolicited emails frequently used to sell.
decode	See
trade publication	Serving a specifically definable industrial, business, service or professional audience.
construct or construction	As a verb, the process by which a media text is shaped and given meaning
fps	Frames per second
exclusivity	1
micro site	Small website with a focused message
unearned	When an advance has not "earned out" the book is said to be "unearned."
remote login	Operating a remote computer over a network as if it were a local computer
transfer	See migrate.
chat	A text-based interface allowing multiple users to write messages and reply to each other in real time
unpaid copies	Circulation or distribution that is either entirely free or at a price inadequate to qualify them as paid in accordance with established rules.
buy-out music	  Production music purchased for a one-time fee, as opposed to a lease or per-use fee schedule.  (see also production music.)
mechanical	Assembly (paste-up) of the elements of an ad on layout paper or board to indicate position and size from reproduction.
long form	Any television commercial longer than two minutes
import	To bring media elements into your current working space
software	Computer programs held in the storage of a computer for some application
galleys	Advance copies of a book for review
quicktime	A proprietary digital video format easily encapsulated and downloaded over the internet
query	A general question posed to a person or group over the Internet.Internet users are generally so helpful that if one asks an appropriate query to the correct discussion group, one will often receive many useful responses
option	A provision in a contract that typically gives the publisher an exclusive period of time to consider and offer on the author's next work
out of print	When a book is no longer being actively sold by a publisher it is said to be out of print, and often an author will be able to "revert" the rights
xga	A standard introduced by IBM that includes VGA as well as resolutions up to 1024 pixels by 768 interlaced lines.
vehicle	Anything capable of exposing advertising to customers.
desktop	1
host	A computer that allows users to communicate with other host computers on a network.
data compression	A techique that provides for the transmission or storage, without noticeable information loss, of fewer data bits than were originally used when the data was created.
term of license	Sometimes contracts are for a set number of years
lux   	A measurement of light
flow through	In some contracts when there is subrights income (see "subrights") the author's share of the revenue is allowed to "flow through" directly to the author without being held by the publisher until the end of a royalty period.
java	An object oriented programming language created by Sun Microsystems
ieee 1394	See
auction	When multiple publishing houses are interested in acquiring a project they will sometimes bid against each other in an auction
character generator	Electronic device which produces graphics and characters for creating video titles.
i.f.c.	Inside front cover (also called second cover).
saddle stitching	Stapling pages, sections, or signatures together with wire from the outside fold along the fold to the center spread; distinguished from side stitching.
cyclorama	  Large, seamless cloth or curtains that are hung on tracks to provide backgrounds for studio sets.
viral marketing	A marketing strategy that encourages the audience to pass on the marketing material themselves
server	A computer program that provides services to other computer programs by responding to requests and supplying or accepting data
ftp	A method for uploading files to and downloading files from Web sites and other computers connected to the Internet
hardcover	Books that are bound in cardboard or some other sturdy fashion, possibly featuring a dust jacket, and usually retailing at a higher price than paperbacks.
record	The basic unit of a database
critical	A reflective position on the meaning, biases or value messages of a text
attenuate	To reduce audio strength or volume.
analog	A continuously varying electronic signal
headroom	  the space between the top of a person's head, and the top of the video screen.
props	  Objects used in the scene either by actors or as part of the set design
control number	A unique number assigned to a specific element of a work.
