cable	A molding design resembling intertwined rape.
mano	The hand-held part of a stone-milling assembly for grinding maize or other foods.
image trap	Slight overlapping of images to ensure they appear registered.
orthogonals	the converging lines that meet at the vanishing point in the system of linear perspective.
venereology	the study of venereal diseases
climatology	the study of the climate
problems of hominid evolution	A detailed investigation of the major problems which confront scholars in terms of hominid evolution
density range	Difference between the darkest and lightest areas of copy
terabyte	Tb or TB
attribution	A line identifying the source of a quote.
bisque	A delicate, unglazed, pink-tinted porcelain that was used from about 1820 until 1940 to make realistic-looking doll heads.
spire	An elongated, pointed structure that rises from a tower, turret, or roof.
publishing paper	Paper made in weights, colors and surfaces suited to books, magazines, catalogs and free-standing inserts.
soil horizon	A soil horizon is a specific layer in the land area that is parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath.
psephology	the study, especially statistical, of elections.
vehicle	a term often used interchangeably with medium to mean the liquid in which pigments are suspended but not dissolved and which, as it dries, binds the color to the surface of the painting.
times the money	Selling method whereby an auctioneer sells multiple items in one lot under the term that the lot’s final price will be calculated by multiplying the highest bid by the number of items comprising the lot.
csr	Customer Service Representative
balma de l'abeurador	Balma de l'Abeurador is a rock shelter that contains a Mesolithic period site, located fifty kilometers from the Mediterranean Sea in France.
varnish	Liquid applied as a coating for protection and appearance.
rhythm	arrangement of time in music
underrun	Quantity printing delivered that is less than the quantity ordered.
jump headline	A special headline treatment reserved for stories continued from another page.
exosphere	The Earth’s atmosphere above 500-600 km.
stop-bath	Stage in processing that arrests the action of the previous solution (e.g
paleolithic	The early stage of the Stone Age, beginning about 750,000 years ago
tocology	the study of childbirth, sometimes spelled "tokology".
chancery italic	A 13th century handwriting style which is the roots of italic design.
keep standing	To hold type or plates ready for reprints.
sa huynh culture	The Sa Huynh Culture is the name given to an urnfield (jar burials) culture on the coastal plains of central and south Vietnam
chrominance	1
brm business reply mail	A domestic service offered by the USPS that allows pieces bearing a specific address or label format with a permit number to be mailed with prepayment of postage
document	(1)Recorded information regardless of physical form or characteristics
b.p.	Before present; used in dating
cutting machine	A machine that cuts stacks of paper to desired sizes
sgi	Silicon Graphics Interface
turnaround time	Amount of time needed to complete a job or one stage of it.
thematic transformation	variation of thematic or melodic material for programmatic purposes
control group	See control and test groups.
ellipsis	Three periods (...) used to indicate the omission of words.
m weight	Weight of 1,000 sheets of paper in any specific size.
baroque	A movement in European painting in the seventeenth and early eighteenth centuries, characterized by violent movement, strong emotion, and dramatic lighting and coloring
bc	The term B.C
spiral bind	To bind using a spiral of wire or plastic looped through holes.
formalism	the doctrine or practice of strict adherence to stylized shapes or other external forms.
blocking	The adhesion of one coated sheet of paper to another that causes tears or coating particles to shed away from the paper surface..
meander pattern	a fret or key pattern originating in the Greek Geometric period.
quarto	(1) Sheet folded twice, making pages one-fourth the size of the original sheet
interlace	a form of decoration composed of strips or ribbons that are intertwined, usually symmetrically about a longitudinal axis.
phytology	the study of plants; botany
chapter house	a meeting place for the discussion of business in a cathedral or monastery.
ringing	An oscillating edge resulting from a sudden change in video level
embryology	the study of embryos
tiff	One of the most common computer formats for saving scans (an abbreviation of Tagged Image File Format).
screen angles	The placement of halftone screens to avoid unwanted moiré patterns
porosity	A measurement of a paper's permeability to air or compactness of fiber within a given set of conditions.
chiaroscuro	Translated from Italian, means “clear/light and dark.” Painting technique developed by Leonardo to contrast lights and darks to help create a truly three-dimensional image
desktop publishing	The use of a PC in the creation of fully composed pages, com prised of text and graphics, using off-the -shelf application software that outputs to a laser printer (or other output device) which is typically driven by PostScript (a device-independent page description language).
low frequency	That portion of the radio frequency spectrum from 30 to 300 kHz.
hagioscope	Also called a squint
analogous hues	hues containing a common color, though in different proportions.
gorget	An ornament usually worn over the chest which may be either suspended on a cord or attached directly to clothing.
h and j	Hyphenation and justification; the computerized spacing and aligning of text.
spoilage	Paper that, due to mistakes or accidents, must be thrown away instead of delivered printed to the customer, as compared to waste.
accrual rate	The rate at which customers earn points in a program
superscript	the small characters set above the normal letters or figures.
verisimilitude	the quality of appearing real or truthful.
chocolate domestication	Theobroma spp is the official name of several varieties of tropical trees that are native to the northern Amazon region of South America and were cultivated and domesticated in central America to produce the wonderful elixir of the gods, chocolate.
working period farm	A term usually associated with a working museum exhibit in which a full scale farm has been restored or reconstructed to depict the former lifeways, tools, and technologies of particular periods.
negative	Film containing an image in which the areas of the original which were light are now dark and the areas which were dark are now clear; this is necessary for preparing plates for offset printing.
density	The degree of tone, weight of darkness or color within a photo or reproduction measured by a densitometer.
pottery	a class of ceramic artifacts in which clay is formed into containers or utensils (by hand, in molds, or with a potter's wheel), sometimes decorated, and fired.
fill-up	Occurs when ink fills the area between the halftone dots or plugs of the type.
lintel	the horizontal cross beam spanning an opening in the post-and-lintel system.
frame	A frame is one complete output of a plastic mold
consumer surplus	The maximum sum of money a consumer would be willing to pay to consume a given amount of a good, less the amount actually paid.
solstice	The time of year when the sun is at its greatest distance from the equator, occurring about June 21 and December 22.
size	Compound mixed with paper or fabric to make it stiffer and less able to absorb moisture.
cartridge	A rough finished paper used for wrapping.
requiem	mass for the dead
proportion scale	A round mechanical tool used to calculate a percentage change of an original image scaled to its finished size.
electronic image assembly	Assembly of new image from portions of existing images or elements using a computer.
ductor roller	The roller between the inking and the dampening rollers.
interaction sphere	This term refers to prehistoric groups who shared social interaction and exchanged material goods, through a network made up of long distance trade contacts.
vaccinology	the study of vaccines
skive	The amount ground off the backbone of perfect bind book to prepare the surface of the spine for the glue which holds the pages together.
activation rate	Most typically used in the credit card industry to indicate the percentage of customers receiving a new credit card who actually activate the card.
burr	in etching, the rough ridge left projecting above the surface of an engraved plate where the design has been incised.
trim size	Size of the printed product after last trim is made.
column	a cylindrical, upright structural support in architecture, consisting of a base, shaft, and capital; an engaged column is one half-embedded in the wall behind it.
player model	A way to reward customers with another company's promotional currency.
chankillo	Chankillo (also spelled Chanquillo) is a ceremonial center and solar observatory located within an area of rock outcrops and sand ramps in the Casma-Schin river valley of arid coastal Peru.
topside	The side of the paper nearest the top of the web as it comes off the paper machine
alexa	See Arri Alexa
tonic	first and most important note of the major or minor scale, to which all other notes in the scale are a subordinate
l	Heliographic longitude of a solar feature
folio	A page number positioned at the top or bottom, either center, flush-left, or flush-right
copyright notice	Statement of copyright ownership that has the word "copyright" or symbol C, the year of publication, and the name of the copyright owner.
latitude	The range of camera exposures that produce acceptable images with a particular digital sensor or film.
hard dot	The effect in a photograph where a dot has such a small degree of halation that the dot shows quite sharp.
dot etching	Applying chemicals by hand to either negatives for increasing dot size which adds color; or, to positives for decreasing dot size which subtracts color.
rushes	Dailies
overprint	To print one image over a previously printed image, such as printing type over a screen tint
trench	Term sometimes used to refer to an excavation unit, especially when the length is longer than the width
cross-sectional surveys	A representative sample of people surveyed at a point in time.
drawdown	Sample of inks specified for a job applied to the substrate specified for a job
lignin	Substance in trees that holds cellulose fibers together
chellean man	Chellean man is the name given to a Homo erectus skull with an extremely large brow ridge, found by Louis Leakey in 1960.
copyright	A copyright prevents use of material(s) without the permission from the originator.
sexual dimorphism	A difference in size between the male and female members of a species; for example, male gorillas are significantly larger than females.
travertine	a hard limestone used as a building material by the Etruscans and Romans.
exchange system	a system for trading or transferring goods, services, or ideas between individuals and communities.
forte	loud
list rental	The arrangement between the list owner and mailer in which the owner gives the mailer a set of names for one-time usage, for which the list owner is paid a royalty by the mailer.
synodic	Referring to a coordinate system fixed on the Earth.
disk drive	The mechanism that rotates the magnetic disk and positions the read/write head(s) at the desired location.
cpn	Critical path network.
tiff or tif	see Tagged Image File Format
contract law	The branch of law concerned with the rights and responsibilities of the parties who have entered into a contract.
frame store	A digital device designed to store and display a single television frame as a "freeze frame." (See also Still Store.)
flat	An image with low contrast is said to appear flat.
scale	To identify the percent by which images should be enlarged or reduced.
hybrid mail	A process whereby mail is transmitted electronically to a print site from where it is then physically mailed.
merge/purge	To combine two or more databases (merge), then eliminate duplicate records (purge)
reactivation	A promotion that moves lapsed customers to start purchasing again.
aerate	This refers to a manual process whereby an air stream is blown onto paper sheets to create a riffling effect that separates the sheets as they are fed to the printing press.
km index	A 3-hourly planetary index of geomagnetic activity calculated by the Institut de Physique du Globe de Paris, France, from the K indexes observed at a large, symmetrically located network of stations
fps	âFrames Per Secondâ The speed at which moving images are captured or played back
average spend	The average amount a customer spends per individual sales transaction
mxd	Code that indicates the contents of a mail container are bound for different destinations.
content	the themes or ideas in a work of art, as distinct from its form.
chargeable	The total number of copies the customer is willing to pay for; chargeable equals net (the number of copies ordered) plus the number of overrun copies the customer is willing to buy
cropping	Removing the extraneous parts of a photograph or other image.
jazz-rock/fusion	combination of jazz and rock
wing	Portion of a spectroscopic absorption (or emission) line between the core of the line and the continuum adjacent to the line.
bond paper	Category of paper commonly used for writing, printing and photocopying
show-through	see opacity.
cantilever	A beam or other structure projecting from a wall and supporting an extension to a building, as on a cantilevered balcony or upper story.
positioning	The âcharacter' of the product or company, as opposed to what it is
mos	Mute
emission line	In spectroscopy, a particular wavelength of emitted radiation, more intense than the background continuum.
aria	songlike vocal piece, musically expressive, with orchestral accompaniment; generally homophonic in texture
bay	A section of the nave, usually marked by vertical shafts or supporting columns at its four corners and arches on each side.
the ancient maya	Ancient Maya, from their beginnings to the historic period
ethnomusicology	the study of music in society, usually non-western music
tonal range	Difference between the darkest and lightest areas of copy.
cielab	A three-dimensional color mapping system that describes all colors visible to the human eye; color reference to the perception of color, as specified by the International Commission on Illumination; used in color management systems.
atmology	the study of the laws and phenomena of aqueous vapors
gang	Group of frames or impositions in the same form of different jobs arranged and positioned to be printed together.
proof	a copy obtained from inked type, plate, block or screen for checking purposes.
anthropology	The study of humans and non-human primates, which includes the comparative study of societies and cultures and the science of human zoology and evolution.
cool colors	Blues, greens and browns.
color correction	The deliberate adjustment of one or more colors to achieve a desired result
book block	Folded signatures gathered, sewn and trimmed, but not yet covered.
chatroom	An internet application that allows users to use a browser to exchange text messages.
eps	Encapsulated PostScript File
parquetry	Veneers arranged in a geometrical pattern.
australopithecus	is one of several species of hominines who may or may not be Homo sapiens direct ancestor.
drop out	The technique that can give a mediocre photo greater contrast by photographically removing some dots to create highlights that show the actual white of the paper.
eps	Encapsulated Post Script, a known file format usually used to transfer post script information from one program to another.
pop	Point of Presence, terminology for local access to a network or telecom service
acs	Address Change Service - an automated process providing change-of-address information to mailers.
uv coating	Liquid applied to a printed sheet, then bonded and cured with ultraviolet light.
estimator	One who computes or approximates the cost of work to be done.
drill	The drilling of holes into paper for ring or comb binding.
new visitors	A new visitor is someone with a unique IP address who is visiting a web site for the first time
five digit	In postal presort, the delivery address on all pieces includes the same 5-digit ZIP Code
camera-ready copy	Mechanicals, photographs and art that are fully prepared for reproductions according to the technical requirements of the printing process being used.
boogie-woogie	piano style derived from the formal and harmonic structure of the blues, but bright in mood and fast in tempo
impressions per hour	Measure of speed of a printing press
archaic period	The Archaic period is the name given to generalized hunter-gatherer societies in the North American continent from approximately 8000 to 2000 years BP.
musicology	the study of music
otolaryngology	the study of the ear and throat; a branch of medicine
pov	Point Of View, usually used to describe a camera angle.
copy writing	The process of developing textual content for advertising and marketing materials.
fold marks	With printed matter, markings indicating where a fold is to occur, usually located at the top edges.
copyright page	See rights page.
ha or h-alpha	The first atomic transition in the hydrogen Balmer series; wavelength = 656.3 nm
nab	1
folio	A page number in a publication.
laser printer	An output device that prints computer-generated text and graphics, usually at a lower resolution than professional typesetters.
rgb	Red, green and blue
cwt	Paper distributor abbreviation for 100 pounds.
trade custom	Business terms and policies followed by businesses in the same field and often codified by a trade association.
broker	Agent who supplies printing from many printing companies.
elliptical dot	Halftone screens in which the dots are actually elongated to produce improved middle tones.
cleat bind	Alternate term for Side stitch.
color reference	A set of process inks printed on standard paper and used for color control.
pixel	Abbreviation for picture element
letterspacing	The addition of space between the letters of words to increase the line-length to a required width or to improve the appearance of a line.
atmos	Atmosphere
tag	Grade of dense, strong paper used for products such as badges and file folders.
tbc	âTime Base Correctorâ
stone age	A period when humans used stone as the primary material for making tools
step-and-repeat	A procedure for placing the same image on plates in multiple places.
tripod	A headline that uses a big, bold word or phrase and two smaller lines of deck squaring off alongside.
facing identification mark	Special mark on business reply and courtesy reply mail which enables automated mail processing equipment to identify it and separate it from other mail
agc	âAutomatic Gain Controlâ A circuit that automatically adjusts audio or video input levels.
histopathology	the study of the (microscopic) structure of diseased tissue|s
cornice	The horizontal feature that runs across the top of Classical columns and the roof line.
saddle-sewn	A form of binding that stitches thread through the gutter fold of a publication.
cassette	(1)A portable housing or container for daylight transportation of either exposed or unexposed photographic materials, which makes it possible to operate an imagesetter in a daylight environment
back-to-back	The alignment of the image on the one-side of the web or press sheet with the image on the two-side.
flicker	1
bmc	Bulk Mail Center, newly termed an NDC.
shaman	A priest or healer who believes that the workings of good and evil spirits can be influenced only by shaman.
pictograph	a written symbol derived from a representational image.
trim size	The size of the printed material in its finished stage.
laser engraving	A paper cutting technique whereby laser technology is utilized to cut away certain unmasked areas of the paper
coat of arms	Heraldic insignia, as on a family escutcheon.
stratosphere	That region of the Earth’s atmosphere between the troposphere and the mesosphere
solarization	An effect, originating in chemical photography, in which light and dark areas are partially reversed
laid finish	A parallel lined paper that has a handmade look.
inverse square law	When a surface is illuminated by a point source of light the intensity of light at the surface is inversely proportional to the square of its distance from the source
sidesaddle head	A headline placed to the left of a story, instead of above it; also called a side head.
hd dvd	High-Definition/Density DVD
multipath	Describing a degraded condition of radio propagation in which the radio wave splits and arrives at the receiver via different paths
african stone age	Introduction to the African Stone Age, with emphasis on sub-Saharan Africa
pur	See Polyurethane Reactive
barrel chair	A chair shaped like rustic chairs which were originally made from half of a wine barrel
pixel	The smallest distinct unit of a bitmapped image displayed on a screen.
status differentiation	Inequality in human society in which certain individuals or groups have access to more resources, power, and roles than others
side guide	The guides on the sides of the sheet fed press that position the sheet sideways as the paper is led towards the front guides.
sickle	A tool for cutting the stalks of cereals, especially wheat
gray scale	Strip of gray values ranging from white to black
pinholes	Small imperfections in paper typically caused by undesired particles embedded in the stock during manufacture.
grid	a site grid is a set of regularly spaced intersecting lines, usually marked by stakes, that provide the basic reference system for recording provenience of archaeological finds in a site.
parure	Derived from a French term meaning "adornment," it refers to a matched set of jewelry consisting of three or more pieces.
exchequer	Monastic building where rents and other income are received and held.
chiefdom	a form of social organization more complex than a tribe or band level society
sporalogy	a parody of astrology
signature	A group of pages brought together into proper sequential order and alignment after it has been folded.
finish	The surface quality of paper.
silkscreen	a printmaking process in which pigment is forced through the mesh of a silkscreen, parts of which have been masked to make them impervious.
legend	Directions about a specific matter (illustrations) and how to use
comprehensive	A detailed dummy or sketch of a design, intended to give a clear sense of how the finished piece should look.
removable media	Storage media that can be removed from the camera.
brc or bre	Business Reply Card or Business Reply Envelope
active prominence	A prominence above the solar limb moving and changing in appearance over a few minutes of time.
mosaic	small pieces of tile, glass, etc to make pattern by embedding
batology	the study of blackberries
template	Concerning a printing project's basic details in regard to its dimensions
chilca	Chilca is the name of an early Archaic period site located on the Peruvian coast about 70 kilometers south of Lima.
refrain	section of melody and text that recurs at the end of each verse of a strophic song
ridge	The highest part or apex of a roof where two slopes meet.
perforating	Taking place on a press or a binder machine, creating a line of small dotted wholes for the purpose of tearing-off a part of a printed matter.
community benefits	The rewards/benefits that program members receive by just being a member in the program, without using program points.
megabyte	Mb or MB
baroque	term, originally meaning irregular, applied to the dramatic, emotional style of seventeenth and early eighteenth century art
abutment	the part of a building intended to receive and counteract the thrust, or pressure, exerted by vaults and arches.
html	The Hyper Text Mark Up language is the code used to create web pages
hominoidea	The taxonomic group (family) that includes the human and ape members of the primates, both fossil and modern forms.
preview scene memory	The Preview Scene Memory preserves automatically the last active panel change not yet stored anywhere else on the system.
code freeze	A software development milestone at which programming is stopped to allow for incremental or final testing.
genecology	the study of genetic differences in relation to the environment
dampening solution	Alternate term for Fountain solution.
saddle stitching	Stitching where wire staples pass through the spine from the outside and are clinched in the center
conflict management	A set of skills and an approach designed to help people better understand and deal with disagreements, both technical and personal, that develop among individuals.
coffer	one of a series of recessed panels in a ceiling, usually done in plaster.
still life	subject matter is objects for pleasing shape, color, texture
return on investment	Commonly referred to as ROI, this term describes the profit from an investment as a percentage of the amount invested.
cayman	A tropical South American alligator.
k	Measurement unit of lighting and color temperature.
case study	A research study that contains qualitative data (such as observations and interview findings) about a subject
gun-loops	Round holes pierced through the walls of castles and manor houses from the fifteenth century onwards
ancient civilizations	The rise and achievements of the earliest civilizations in both the Old and New Worlds
fugitive inks	Colors that lose tone and permanency when exposed to light.
polyphonic texture	combination of two or more simultaneous melodic lines
type style	Characteristic such as bold, italic or roman.
wpg	WordPerfect metafile format, used by WordPerfect software on various platforms
component	an association of all the artifacts from one occupation level and one time period at a site.
pigment	Particles that absorb and reflect light and appear colored to our eyes; the substance that gives ink its color.
sheetwise	The printing of two different images on two different sides of a sheet of paper by turning the page over after the first side is printed and using the same gripper and side guides.
4k	Generic term for data with a resolution of about 4000 pixels across, typically 4096 x 3112, which is deemed to be about 35 mm OCN quality.
cajamarca culture	The Cajamarca Culture was a small polity in the Peruvian highlands, ca
knockout	Alternate term for reverse
cmp	Configuration Management Plan.
tes	âTornado Embedded Softwareâ
trabeated	constructed according to the postand-lintel method.
graphics interchange format	see gif
dimensional stability	Ability of a film to hold size throughout its cycle of use
setoff	Undesirable transfer of wet ink from the top of one sheet to the underside of another as they lie in the delivery stack of a press.
print-on demand	A method to make a few books at a time
gang	To group several printing jobs on the same sheet and accomplish a number of tasks with one print run.
lactational amenorrhea	The suppression of ovulation and menstruation during breast-feeding.
brow ridge	That part of the skull above the eye orbits
bulk erase	To completely destroy the contents of a magnetic media, by subjecting it to a strong magnetic field
fixing	the use of a chemical process to make an image (a photograph, for example) more permanent.
quire	An archaic measure of paper quantity, consisting of 24 sheets of a uniform size.
stirrup spout	A distinctive curving spout on pottery vessels that is shaped like the stirrup of a saddle; characteristic of Moche pottery.
retable	Rear part of an altar, often richly decorated, for instance with an altarpiece
desktop publishing	Technique of using a personal computer to design images and pages, and assemble type and graphics, then using a laser printer or imagesetter to output the assembled pages onto paper, film or printing plate
ripple finish	A surface effect created by paper mill embossing.
tribe	A group of people able to support a level of subsistence in a permanent settlement.
figurative	representing the likeness of a recognizable human (or animal) figure.
s component	The slowly varying (weeks or longer) fluctuation observed in solar radio emission at microwave frequencies (wavelengths from 3-100 cm).
burn	A term used in plate making to describe the amount of plate exposure time.
anti-aliasing	Filtering methods used to remove or minimize aliasing effects
ebu	âEuropean Broadcasting Unionâ An association of European Broadcasters with a number of committees which make recommendations to the CCIR
opacity	1
crosstalk	The unwanted interference of one signal with another
carton	Selling unit of paper weighing approximately 150 pounds (60 kilos)
dummy	A layout showing the size, shape, form and general style of a piece of printing.
web	Roll of printing paper.
gabardine	A fabric of closely woven cotton or wool twill.
fish habitat	Conditions essential for fish life including sufficient water quality and quantity, spawning, nursery, and rearing areas, and food supply.
filament	A mass of gas suspended over the chromosphere by magnetic fields and seen as dark ribbons threaded over the solar disk
bow shock	A standing shock wave in front of the magnetosphere, arising from the interaction of the supersonic solar wind with the Earth’s magnetic field.
classical	Pertaining to the ancient Greek and Roman empires
expanded/extended type	Characters wider than the standard set width: i.e., turning this M into M.
alley	Space between columns of type on a page.
wysiwyg	Short for What You See Is What You Get
film laminate	Thin sheet of plastic bonded to a printed product for protection or increased gloss.
dance	movement organized and accompanied by music
indicia	Postal permit information printed on objects to be mailed and accepted by USPS in lieu of stamps.
eps	A file format used to transfer PostScript code information from one program to another.
filament channel	A broad pattern of fibrils in the chromosphere, marking a portion of a magnetic polarity inversion line where a filament may soon form or where a filament recently disappeared.  Filament channels are frequently observed in soft x-rays images as dark lanes.
graphic designer	professional, who designs, plans and may coordinate production of a printed piece.
usb	âUniversal Serial Busâ A widely used computer interface on both PC and Mac computers
association	Objects found near one another in the same context are said to be in association
accent	strong sound
electrophotography	Image transfer system used in copiers to produce images using electrostatic forces.
immunology	the study of the immune system
template	A guide for page and cover layouts.
burst binding	A binding technique that entails nicking the backfold in short lengths during the folding process, which allows glue to reach each individual leaf and create a strong bond.
cultural competence	A set of values, behaviors, attitudes, and practices that enable people to work effectively across racial/ethnic and cultural lines.
gif	Graphics Interchange Format almost always used for web images and rarely appropriate for printing.
stabbing	To bind a series of pages with wire staples such that staples enter from the front and back simultaneously, neither side being long enough to exit the opposite side.
rgb	Represents the colored lights — Red, Green and Blue — used to create color on your computer monitor or television screen
control package	The direct mail piece used as the baseline to measure the performance of test packages with different formats, offers, or messaging.
job ticket	Form used to specify the production schedule of a job and the materials and processes it needs
leading	Amount of space between lines of type.
history	the study of the past through written records that are compared, placed in chronological sequence, and interpreted.
template	Pattern used to draw illustrations, make page formats, or lay out press sheets
base	(a) that on which something rests; (b) the lowest part of a wall or column considered as a separate architectural feature.
isotopic technique	A method for absolute dating that relies on known rates of decay in radioactive isotopes, especially carbon, potassium, and uranium.
style	in the visual arts, a manner of execution that is characteristic of an individual, a school, a period, or some other identifiable group.
strapwork	A narrow band folded, crossed and sometimes interlaced
tribhanga	in Buddhist art, the "three bends posture," in which the head, chest, and lower portion of the body are angled instead of being aligned vertically.
chord	meaningful combination of three or more tones
shadows	Darkest areas of a photograph or illustration, as compared to midtones and highlights.
smock	In medieval times a smock was a loose, knee- or calf-length garment with a yoke, made of cotton or linen and worn by women under their gowns
altar	(a) any structure used as a place of sacrifice or worship; (b) a tablelike structure used in a Christian church to celebrate the Eucharist.
digital transmission	A communications mode in which the data to be transferred is represented as discrete (and discontinuous) electronic pulses or signals, the values of which are stored as a series of zeros and ones, otherwise known as binary digits.
natural habitat hypothesis	The theory about the origins of agriculture associated with Robert Braidwood, suggesting that the earliest domesticates appeared in the area that their wild ancestors inhabited.
cutline	A line or block of type providing descriptive information about a photo.
polyrhythm	two or more rhythmic patterns performed simultaneously
cm	Configuration management.
landscape	Artist style in which width is greater than height
paper dummy	Unprinted sample of a proposed printed piece trimmed, folded, and, if necessary, bound using paper specified for the job.
wav	Windows compatible audio file format that supports 11kHz, 22kHz, and 44kHz as 8 or 16 bit mono or stereo
large-format camera	Camera that makes negatives 4 x 5 or larger.
house sheet	Paper kept in stock by a printer and suitable for a wide variety of printing jobs.
a-mode edl	An A mode edit decision list is arranged in record time order
chase	(old) Frame of steel, or cast or wrought iron, in which images are locked up for printing.
ambulatory	A covered passage around and behind the altar, linking it with chapels at the east end of the church.
musicology	scientific study of music
anatolia	The Anatolia region is one of the cradles of urban civilization, and consists of the peninsula of Asia Minor.
geocentric	A view of the solar system with the earth at the center and the sun and planets orbiting around it
dit	Digital Imaging Technician
cd-rom	Compact disk–read only memory
bullet	Bold dot used for typographic emphasis or to identify elements in a list.
javascript	Intended to provide a quicker and simpler language for enhancing Web pages and servers.
hairline	Subjective term referring to very small space, thin line or close register
gothic	A style of architecture that was prevalent in Western Europe from about 1200 until 1550
cross drain	A ditch relief culvert or other structure or shaping of the traveled way designed to capture and remove surface water from the traveled way or other road surfaces.
chengziya	Chengziya is an archaeological site in Shandong Province, China, consissting of a walled settlement, with occupations primarily dated to the Longshan period (2600-2000 BC).
data capture	Electronic or manual input of information onto a database for future marketing use.
point expiration	The automatic deduction of unused program currency from the member's account for non-use
modern	refers to type styles introduced towards the end of the 19th century
pantheon	The officially recognized gods of a people.
duplication	Copying
console	Term originally applied to a bracket that supported cornices or shelves and later used to describe tables that were affixed to a wall and supported with legs only at the front
varnish	A clear coating added to printed material as a protective layer for improved scuff resistance and usually higher gloss.
making order	Order for custom-made paper.
cenote	The Maya word for a sinkhole, a natural well in the Yucatán that provides water for drinking and bathing.
kicker	A small, short, one-line headline, often underscored, placed above a larger headline.
mp3	A digital audio file format with CD quality that lets Internet users download songs to a PC or to a portable player.
topics of debate	Topics of debate in archaeology and human biology from a perspective that emphasizes philosophical, theoretical and methodological issues
kerning	Adjusting space between pairs of letters to make them appear better fitted.
pickup art	Artwork, used in a previous job, to be incorporated in a current job.
ethnoarchaeology	a form of ethnography focusing on the study of material remains to aid archaeological interpretation
fixed message	In ink-jetting, an common message that does not vary from book to book.
impasto	the thick application of paint, usually oil or acrylic, to a canvas or panel.
sociology	the study of society
lion passant guardant	Walking lion looking to the left, English standard 925-1000 pre 1822.
icons	pictorial images used on screen to indicate utility functions, files, folders or applications software
y2k	Year 2000
off-line	Production operations conducted out-of-process rather than in-line (on-press), such as die-cutting or the application of special coatings via dedicated equipment.
baseline	Imaginary line, under a line of type, used to align characters.
natural	A term to describe papers that have a color similar to that of wood, also called cream, off-white or ivory.
impression	Product resulting from one cycle of printing machine
bentwood	Wood that is bent while wet into curved chair parts
subtitle	Phrase in a nameplate that amplifies or supplements information in the newsletter name.
iconostasis	From Greek for "icon-stand." In Orthodox churches (such as in Greece or Russia), the screen separating the sanctuary or altar from the church proper and adorned with various icons
rhinology	the study of the nose and its diseases
printer command language	A language developed by Hewlett Packard for use with its own range of printers
eng	1
code audit	A methodical examination of a project, either in whole or in part, to assess compliance with software requirements, specifications, and standards
quadrant vaulting	vaulting whose arc is one-quarter of a circle, or 90 degrees.
theatre	tiers or terraces in a hillside, resembling the concave formation of seats in a classical outdoor theatre.
coronal hole	An extended region of the corona, exceptionally low in density and associated with unipolar photospheric regions having ”open” magnetic field topology
ink density	The degree of darkness of a printed image
campaign effectiveness	Measures the success (or otherwise) of campaigns.
trash can	the icon selected for the deleting of files or objects.
nas	âNetwork Attached Storageâ is a hard disk or RAID with its own IP address and a simple operating system attached to a local area network (LAN)
baker cave	Baker Cave is a rock shelter located in the Lower Pecos region of southwest Texas of the south central United States, with occupations dated between 9,000-6800 years before the present.
windows	a software technique that allows a rectangular area of a computer screen to display output from a program
port	An electrical connection on the computer into which a cable can be plugged so the computer can communicate with another device such as a printer or modem.
com opt	âCombined Opticalâ
phenology	the study of periodic biological| phenomena such as flowering, migration, breeding, etc.
aa index	A daily and half-daily index of geomagnetic activity determined from the k indices scaled at two nearly antipodal stations at invariant magnetic latitude 50 degrees (Hartland, England, and Canberra, Australia)
two-sidedness	The difference in feel and appearance between two sides of the same sheet of paper
white space	Designer term referring to non-image area that frames or sets off copy.
m	Roman numeral for 1,000.
papeterie	A high-grade soft paper used for personal stationery because it accepts handwriting well.
caliper	(1) Thickness of paper or other substrate expressed in thousandths of an inch (mils or points), pages per inch (ppi), thousandths of a millimeter (microns) or pages per centimeter (ppc)
circulation	describes the flow of people throughout a building.
sunspot cycle	The approximately 11 year quasi-periodic variation in the sunspot number
oculus	a round opening in a wall or at the apex of a dome.
dub	1
hit	The term used for counting the number of visitors to a Web page
passage grave	A megalithic tomb entered via a long, low, narrow passage that opens into a wider room, generally near the center of the structure.
hieroglyphic	written in a script (especially in ancient Egypt) whose characters are pictorial representations of objects.
human osteology	Introduction to identification and interpretation of human skeletal and dental remains
lempel-ziv-welch	See LZW.
rough	a preliminary sketch of a proposed design.
rough layout	sketch giving a general idea of size and placement of text and graphics in the final product
angelology	the study of angels
type 1 fonts	Early PostScript fonts that offered improved versatility over fixed-font technology.
bindery	Place where printed products are collated, trimmed, folded and/or bound
dendrochronology	the study of the age of trees and the records in their rings
honours thesis	Thesis normally required of Honours BA students and also open for credit to other undergraduate Majors
sediments	Soils that have been transported over distances and have accumulated in a new area
chinampa	(Spanish) An agricultural field created by swamp drainage or landfill operations along the edges of lakes
depth of field	The distance between the nearest and furthest objects in focus
composition	A material used from the 1920s to the 1950s to make dolls, consisting of malleable wood pulp and paste, or rags that had been boiled and formed.
water saturated sites	Swamps, marshes, bogs and other wetland sites created as a result of changes in the water table due either to natural or human changes to the environment
emoticons	A series of keyed characters used especially in e-mail to indicate an emotion, such as pleasure [:-)] or sadness [:-(].
tensile strength	the internal strength of a material that enables it to support itself without rupturing.
ground-penetrating radar	An instrument used to find sub-surface anomalies (features) by recording differential reflection of radar pulses
